signal_id,brand_id,sender_phone,message_text,message_direction,message_timestamp,raw_content,raw_metadata,received_at,intake_method,intake_metadata
a1b2c3d4-e5f6-7890-1234-567890abcdef,a1b2c3d4-e5f6-7890-1234-567890abcdef,+447473880264,Hi ordered through your Rayleigh shop...,inbound,2025-09-29 01:17:18+00:00,"{""timestamp"":""2025-09-29 01:17:18"",""sender"":""George"",""message"":""Hi ordered through your Rayleigh shop..."",""phone_number"":""447473880264"",""brand"":""wing_shack"",""direction"":""inbound"",""conversation_id"":""conv_001""}","{""conversation_id"":""conv_001"",""sender"":""George"",""source"":""csv_upload""}",2025-01-27 10:00:00+00:00,csv_upload,"{""uploaded_at"":""2025-01-27T10:00:00Z"",""conversation_id"":""conv_001""}"
b2c3d4e5-f6g7-8901-2345-678901abcdef,a1b2c3d4-e5f6-7890-1234-567890abcdef,+447473880264,Hi there I'll have a look...,outbound,2025-09-29 01:19:14+00:00,"{""timestamp"":""2025-09-29 01:19:14"",""sender"":""Wingverse"",""message"":""Hi there I'll have a look..."",""phone_number"":""447473880264"",""brand"":""wing_shack"",""direction"":""outbound"",""conversation_id"":""conv_001""}","{""conversation_id"":""conv_001"",""sender"":""Wingverse"",""source"":""csv_upload""}",2025-01-27 10:00:00+00:00,csv_upload,"{""uploaded_at"":""2025-01-27T10:00:00Z"",""conversation_id"":""conv_001""}"
c3d4e5f6-g7h8-9012-3456-789012abcdef,a1b2c3d4-e5f6-7890-1234-567890abcdef,+447473880264,Thanks,inbound,2025-09-29 01:20:45+00:00,"{""timestamp"":""2025-09-29 01:20:45"",""sender"":""George"",""message"":""Thanks"",""phone_number"":""447473880264"",""brand"":""wing_shack"",""direction"":""inbound"",""conversation_id"":""conv_001""}","{""conversation_id"":""conv_001"",""sender"":""George"",""source"":""csv_upload""}",2025-01-27 10:00:00+00:00,csv_upload,"{""uploaded_at"":""2025-01-27T10:00:00Z"",""conversation_id"":""conv_001""}"
d4e5f6g7-h8i9-0123-4567-890123abcdef,a1b2c3d4-e5f6-7890-1234-567890abcdef,+447473880264,No problem! Your order is ready...,outbound,2025-09-29 01:21:12+00:00,"{""timestamp"":""2025-09-29 01:21:12"",""sender"":""Wingverse"",""message"":""No problem! Your order is ready..."",""phone_number"":""447473880264"",""brand"":""wing_shack"",""direction"":""outbound"",""conversation_id"":""conv_001""}","{""conversation_id"":""conv_001"",""sender"":""Wingverse"",""source"":""csv_upload""}",2025-01-27 10:00:00+00:00,csv_upload,"{""uploaded_at"":""2025-01-27T10:00:00Z"",""conversation_id"":""conv_001""}"
e5f6g7h8-i9j0-1234-5678-901234abcdef,a1b2c3d4-e5f6-7890-1234-567890abcdef,+447123456789,Are you open today?,inbound,2025-09-29 02:15:30+00:00,"{""timestamp"":""2025-09-29 02:15:30"",""sender"":""Sarah"",""message"":""Are you open today?"",""phone_number"":""447123456789"",""brand"":""wing_shack"",""direction"":""inbound"",""conversation_id"":""conv_002""}","{""conversation_id"":""conv_002"",""sender"":""Sarah"",""source"":""csv_upload""}",2025-01-27 10:00:00+00:00,csv_upload,"{""uploaded_at"":""2025-01-27T10:00:00Z"",""conversation_id"":""conv_002""}"
f6g7h8i9-j0k1-2345-6789-012345abcdef,a1b2c3d4-e5f6-7890-1234-567890abcdef,+447123456789,Yes we're open until 10pm...,outbound,2025-09-29 02:16:45+00:00,"{""timestamp"":""2025-09-29 02:16:45"",""sender"":""Wingverse"",""message"":""Yes we're open until 10pm..."",""phone_number"":""447123456789"",""brand"":""wing_shack"",""direction"":""outbound"",""conversation_id"":""conv_002""}","{""conversation_id"":""conv_002"",""sender"":""Wingverse"",""source"":""csv_upload""}",2025-01-27 10:00:00+00:00,csv_upload,"{""uploaded_at"":""2025-01-27T10:00:00Z"",""conversation_id"":""conv_002""}"
g7h8i9j0-k1l2-3456-7890-123456abcdef,a1b2c3d4-e5f6-7890-1234-567890abcdef,+447123456789,Great! I'll come by later,inbound,2025-09-29 02:17:20+00:00,"{""timestamp"":""2025-09-29 02:17:20"",""sender"":""Sarah"",""message"":""Great! I'll come by later"",""phone_number"":""447123456789"",""brand"":""wing_shack"",""direction"":""inbound"",""conversation_id"":""conv_002""}","{""conversation_id"":""conv_002"",""sender"":""Sarah"",""source"":""csv_upload""}",2025-01-27 10:00:00+00:00,csv_upload,"{""uploaded_at"":""2025-01-27T10:00:00Z"",""conversation_id"":""conv_002""}"
h8i9j0k1-l2m3-4567-8901-234567abcdef,a1b2c3d4-e5f6-7890-1234-567890abcdef,+447987654321,What's your spiciest wing?,inbound,2025-09-29 03:45:12+00:00,"{""timestamp"":""2025-09-29 03:45:12"",""sender"":""Mike"",""message"":""What's your spiciest wing?"",""phone_number"":""447987654321"",""brand"":""wing_shack"",""direction"":""inbound"",""conversation_id"":""conv_003""}","{""conversation_id"":""conv_003"",""sender"":""Mike"",""source"":""csv_upload""}",2025-01-27 10:00:00+00:00,csv_upload,"{""uploaded_at"":""2025-01-27T10:00:00Z"",""conversation_id"":""conv_003""}"
i9j0k1l2-m3n4-5678-9012-345678abcdef,a1b2c3d4-e5f6-7890-1234-567890abcdef,+447987654321,Our Carolina Reaper wings are...,outbound,2025-09-29 03:46:30+00:00,"{""timestamp"":""2025-09-29 03:46:30"",""sender"":""Wingverse"",""message"":""Our Carolina Reaper wings are..."",""phone_number"":""447987654321"",""brand"":""wing_shack"",""direction"":""outbound"",""conversation_id"":""conv_003""}","{""conversation_id"":""conv_003"",""sender"":""Wingverse"",""source"":""csv_upload""}",2025-01-27 10:00:00+00:00,csv_upload,"{""uploaded_at"":""2025-01-27T10:00:00Z"",""conversation_id"":""conv_003""}"
j0k1l2m3-n4o5-6789-0123-456789abcdef,a1b2c3d4-e5f6-7890-1234-567890abcdef,+447987654321,Perfect! I'll take 12 of those,inbound,2025-09-29 03:47:15+00:00,"{""timestamp"":""2025-09-29 03:47:15"",""sender"":""Mike"",""message"":""Perfect! I'll take 12 of those"",""phone_number"":""447987654321"",""brand"":""wing_shack"",""direction"":""inbound"",""conversation_id"":""conv_003""}","{""conversation_id"":""conv_003"",""sender"":""Mike"",""source"":""csv_upload""}",2025-01-27 10:00:00+00:00,csv_upload,"{""uploaded_at"":""2025-01-27T10:00:00Z"",""conversation_id"":""conv_003""}"
